START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
1/9/2020 9:22:36 AM,1/9/2020 9:33:19 AM,SDC3,200107 Al 30V  200mA,COSMOS-2,notspecified,05
DATE_TIME, RPM,PS_FwdTot,Flow,PS_FwdVolt,Temp,PS_FwdAmp,
1/9/2020 9:22:36 AM,0,175.256,5,0,18.3,0,
1/9/2020 9:22:37 AM,0,175.256,5,0,18.3,0,
1/9/2020 9:22:38 AM,0,175.256,5,0,18.3,0,
1/9/2020 9:22:39 AM,0,175.256,5,0,18.3,0,
1/9/2020 9:22:40 AM,0,175.256,5,0,18.3,0,
1/9/2020 9:22:41 AM,0,175.256,5.1,0,18.3,0,
1/9/2020 9:22:42 AM,0,175.256,5.1,0,18.3,0,
1/9/2020 9:22:43 AM,0,175.256,5.2,0,18.3,0,
1/9/2020 9:22:44 AM,0,175.256,5.2,0,18.3,0,
1/9/2020 9:22:45 AM,0,175.256,5.2,0,18.3,0,
1/9/2020 9:22:47 AM,3,175.256,5.2,0,18.3,0,
1/9/2020 9:22:48 AM,3,175.256,5.2,0,18.3,0,
1/9/2020 9:22:49 AM,3,175.256,5.1,0,18.3,0,
1/9/2020 9:22:50 AM,3,175.256,5.1,0,18.3,0,
1/9/2020 9:22:51 AM,2,175.256,5.2,0,18.3,0,
1/9/2020 9:22:52 AM,3,175.256,5.2,0,18.3,0,
1/9/2020 9:22:53 AM,2,175.256,5.2,0,18.3,0,
1/9/2020 9:22:54 AM,46,175.256,5.1,0,18.3,0,
1/9/2020 9:22:55 AM,95,175.256,5.1,0.042,18.3,0,
1/9/2020 9:22:56 AM,96,175.256,5.1,29.968,18.3,0,
1/9/2020 9:22:57 AM,98,175.256,5.1,30.008,18.3,0.0852,
1/9/2020 9:22:58 AM,100,175.256,5.1,30.008,18.3,0.0852,
1/9/2020 9:22:59 AM,101,175.256,5.1,30.008,18.3,0.0852,
1/9/2020 9:23:00 AM,99,175.2609,5.2,30.009,18.3,0.0834,
1/9/2020 9:23:01 AM,102,175.2609,5.1,30.009,18.3,0.0834,
1/9/2020 9:23:02 AM,95,175.2609,5.1,30.008,18.3,0.0836,
1/9/2020 9:23:03 AM,99,175.2609,5.2,30.008,18.3,0.0823,
1/9/2020 9:23:04 AM,99,175.2609,5.2,30.008,18.3,0.0823,
1/9/2020 9:23:05 AM,95,175.2679,5.1,30.008,18.3,0.083,
1/9/2020 9:23:06 AM,101,175.2679,5.1,30.008,18.3,0.0814,
1/9/2020 9:23:07 AM,99,175.2679,5.1,30.008,18.3,0.0814,
1/9/2020 9:23:08 AM,94,175.2679,5.1,30.009,18.3,0.0823,
1/9/2020 9:23:09 AM,103,175.2679,5.1,30.009,18.3,0.0806,
1/9/2020 9:23:10 AM,99,175.2679,5.1,30.009,18.3,0.0806,
1/9/2020 9:23:11 AM,99,175.275,5.1,30.008,18.3,0.0812,
1/9/2020 9:23:12 AM,99,175.275,5.1,30.008,18.3,0.0812,
1/9/2020 9:23:13 AM,98,175.275,5.2,30.009,18.3,0.0796,
1/9/2020 9:23:14 AM,103,175.275,5.2,30.008,18.3,0.0801,
1/9/2020 9:23:15 AM,96,175.275,5.2,30.008,18.3,0.0801,
1/9/2020 9:23:16 AM,100,175.2819,5.2,30.009,18.3,0.0788,
