START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
1/9/2020 9:34:19 AM,1/9/2020 9:45:03 AM,SDC3,200107 Al 30V  200mA,COSMOS-2,notspecified,05
DATE_TIME, RPM,PS_FwdTot,Flow,PS_FwdVolt,PS_FwdAmp,Temp,
1/9/2020 9:34:20 AM,0,175.6758,5,0,0,18.3,
1/9/2020 9:34:21 AM,0,175.6758,5,0,0,18.3,
1/9/2020 9:34:22 AM,0,175.6758,5,0,0,18.3,
1/9/2020 9:34:23 AM,0,175.6758,5,0,0,18.3,
1/9/2020 9:34:24 AM,0,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:25 AM,0,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:26 AM,0,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:27 AM,0,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:28 AM,0,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:29 AM,0,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:30 AM,2,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:31 AM,3,175.6758,5,0,0,18.3,
1/9/2020 9:34:32 AM,3,175.6758,5,0,0,18.3,
1/9/2020 9:34:33 AM,2,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:34 AM,3,175.6758,5,0,0,18.3,
1/9/2020 9:34:35 AM,2,175.6758,5,0,0,18.3,
1/9/2020 9:34:36 AM,2,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:37 AM,49,175.6758,5.1,0,0,18.3,
1/9/2020 9:34:38 AM,103,175.6758,5.1,0.042,0,18.3,
1/9/2020 9:34:39 AM,102,175.6758,5.1,29.953,0,18.3,
1/9/2020 9:34:40 AM,100,175.6758,5,30.008,0.0842,18.3,
1/9/2020 9:34:41 AM,100,175.6758,5,30.008,0.0842,18.3,
1/9/2020 9:34:42 AM,98,175.6758,5,30.008,0.0845,18.3,
1/9/2020 9:34:43 AM,100,175.6805,5.1,30.008,0.0825,18.3,
1/9/2020 9:34:44 AM,99,175.6805,5.1,30.008,0.0825,18.3,
1/9/2020 9:34:45 AM,95,175.6805,5,30.009,0.0834,18.3,
1/9/2020 9:34:46 AM,102,175.6805,5,30.009,0.0815,18.3,
1/9/2020 9:34:47 AM,102,175.6805,5,30.009,0.0815,18.3,
1/9/2020 9:34:48 AM,97,175.6874,5,30.008,0.0822,18.3,
1/9/2020 9:34:49 AM,100,175.6874,5,30.008,0.0814,18.3,
1/9/2020 9:34:50 AM,98,175.6874,5,30.008,0.0814,18.3,
1/9/2020 9:34:51 AM,100,175.6874,5,30.009,0.08,18.3,
1/9/2020 9:34:52 AM,97,175.6874,5,30.008,0.0801,18.3,
1/9/2020 9:34:53 AM,99,175.6944,5,30.008,0.0801,18.3,
1/9/2020 9:34:54 AM,98,175.6944,5,30.008,0.08,18.3,
1/9/2020 9:34:55 AM,99,175.6944,5.1,30.008,0.08,18.3,
1/9/2020 9:34:56 AM,97,175.6944,5.1,30.008,0.0798,18.3,
1/9/2020 9:34:57 AM,101,175.6944,5.1,30.009,0.0792,18.3,
1/9/2020 9:34:58 AM,95,175.7011,5.1,30.009,0.0792,18.3,
1/9/2020 9:34:59 AM,99,175.7011,5.1,30.008,0.0785,18.3,
1/9/2020 9:35:00 AM,100,175.7011,5,30.009,0.0781,18.4,
1/9/2020 9:35:01 AM,96,175.7011,5,30.009,0.0781,18.4,
1/9/2020 9:35:02 AM,100,175.7011,5.1,30.009,0.0779,18.4,
1/9/2020 9:35:03 AM,99,175.7076,5.1,30.009,0.0782,18.4,
1/9/2020 9:35:05 AM,96,175.7076,5.1,30.009,0.0782,18.3,
1/9/2020 9:35:06 AM,102,175.7076,5.1,30.009,0.0771,18.3,
1/9/2020 9:35:07 AM,99,175.7076,5,30.009,0.0774,18.4,
1/9/2020 9:35:08 AM,96,175.7076,5,30.009,0.0774,18.4,
1/9/2020 9:35:09 AM,99,175.7141,5,30.008,0.0769,18.4,
1/9/2020 9:35:10 AM,100,175.7141,5.2,30.008,0.0757,18.4,
1/9/2020 9:35:11 AM,100,175.7141,5.2,30.008,0.0757,18.4,
1/9/2020 9:35:12 AM,97,175.7141,5.1,30.009,0.0763,18.3,
1/9/2020 9:35:13 AM,100,175.7141,5,30.009,0.075,18.4,
1/9/2020 9:35:14 AM,105,175.7205,5,30.009,0.075,18.3,
1/9/2020 9:35:15 AM,102,175.7205,5.1,30.009,0.0758,18.4,
1/9/2020 9:35:16 AM,102,175.7205,5.1,30.009,0.0758,18.4,
1/9/2020 9:35:17 AM,102,175.7205,5.1,30.009,0.0746,18.4,
1/9/2020 9:35:18 AM,97,175.7205,5.1,30.009,0.0754,18.3,
1/9/2020 9:35:19 AM,100,175.7267,5.1,30.009,0.0754,18.3,
1/9/2020 9:35:20 AM,102,175.7267,5.1,30.009,0.0743,18.3,
1/9/2020 9:35:21 AM,104,175.7267,5.1,30.008,0.0735,18.3,
1/9/2020 9:35:22 AM,100,175.7267,5.1,30.008,0.0735,18.3,
1/9/2020 9:35:23 AM,100,175.7267,5.1,30.009,0.0739,18.4,
1/9/2020 9:35:24 AM,99,175.7329,5,30.009,0.0731,18.4,
1/9/2020 9:35:25 AM,97,175.7329,5.1,30.009,0.0731,18.3,
1/9/2020 9:35:26 AM,99,175.7329,5.1,30.009,0.0735,18.4,
1/9/2020 9:35:27 AM,105,175.7329,5.1,30.009,0.0722,18.3,
1/9/2020 9:35:28 AM,99,175.7329,5.1,30.009,0.0722,18.4,
1/9/2020 9:35:29 AM,97,175.7391,5,30.009,0.073,18.3,
1/9/2020 9:35:30 AM,101,175.7391,5,30.009,0.0716,18.3,
1/9/2020 9:35:31 AM,100,175.7391,5.1,30.009,0.0716,18.4,
1/9/2020 9:35:32 AM,99,175.7391,5.1,30.008,0.0724,18.4,
1/9/2020 9:35:33 AM,96,175.7391,5.1,30.008,0.0724,18.3,
1/9/2020 9:35:34 AM,95,175.7451,5.1,30.009,0.0717,18.4,
1/9/2020 9:35:35 AM,98,175.7451,5.1,30.009,0.0716,18.4,
1/9/2020 9:35:36 AM,104,175.7451,5,30.009,0.0716,18.4,
1/9/2020 9:35:37 AM,100,175.7451,5,30.009,0.0706,18.4,
1/9/2020 9:35:38 AM,99,175.7451,5,30.009,0.0709,18.3,
1/9/2020 9:35:39 AM,100,175.7511,5,30.009,0.0709,18.4,
1/9/2020 9:35:40 AM,95,175.7511,5,30.009,0.0701,18.4,
1/9/2020 9:35:41 AM,99,175.7511,5,30.009,0.0703,18.3,
1/9/2020 9:35:42 AM,104,175.7511,5,30.009,0.0703,18.4,
1/9/2020 9:35:43 AM,100,175.7511,5,30.009,0.0697,18.4,
1/9/2020 9:35:44 AM,100,175.7572,5,30.009,0.0693,18.3,
1/9/2020 9:35:45 AM,99,175.7572,5,30.009,0.0693,18.3,
1/9/2020 9:35:46 AM,105,175.7572,5,30.009,0.0695,18.3,
1/9/2020 9:35:47 AM,98,175.7572,5,30.009,0.0682,18.3,
1/9/2020 9:35:48 AM,101,175.7572,5,30.009,0.0682,18.3,
1/9/2020 9:35:49 AM,100,175.7631,5,30.009,0.0692,18.3,
1/9/2020 9:35:50 AM,99,175.7631,5,30.009,0.0692,18.3,
1/9/2020 9:35:51 AM,99,175.7631,5,30.009,0.0676,18.3,
1/9/2020 9:35:52 AM,99,175.7631,5,30.009,0.0684,18.3,
1/9/2020 9:35:53 AM,104,175.7631,4.9,30.009,0.0684,18.3,
1/9/2020 9:35:54 AM,99,175.7631,4.9,30.009,0.067,18.3,
1/9/2020 9:35:55 AM,99,175.769,5,30.009,0.0674,18.4,
1/9/2020 9:35:56 AM,99,175.769,5,30.009,0.0674,18.4,
1/9/2020 9:35:57 AM,99,175.769,5,30.008,0.0663,18.3,
1/9/2020 9:35:58 AM,98,175.769,5,30.009,0.067,18.3,
1/9/2020 9:35:59 AM,99,175.7745,5,30.009,0.067,18.4,
1/9/2020 9:36:00 AM,99,175.7745,5,30.008,0.0659,18.3,
1/9/2020 9:36:01 AM,95,175.7745,5,30.009,0.0665,18.3,
1/9/2020 9:36:02 AM,101,175.7745,5,30.009,0.0665,18.4,
1/9/2020 9:36:03 AM,99,175.7745,5.1,30.009,0.0654,18.4,
1/9/2020 9:36:04 AM,100,175.7801,5.1,30.009,0.0659,18.4,
1/9/2020 9:36:05 AM,102,175.7801,5.1,30.009,0.0659,18.4,
1/9/2020 9:36:06 AM,96,175.7801,5.1,30.009,0.0648,18.4,
1/9/2020 9:36:07 AM,99,175.7801,5.1,30.009,0.0654,18.4,
1/9/2020 9:36:08 AM,105,175.7801,5.1,30.008,0.0654,18.4,
1/9/2020 9:36:09 AM,99,175.7856,5.1,30.008,0.0643,18.4,
1/9/2020 9:36:10 AM,99,175.7856,5.1,30.008,0.0643,18.4,
1/9/2020 9:36:11 AM,103,175.7856,5.1,30.009,0.0649,18.4,
1/9/2020 9:36:12 AM,100,175.7856,5.1,30.008,0.0636,18.4,
1/9/2020 9:36:13 AM,99,175.7856,5.2,30.008,0.0636,18.4,
1/9/2020 9:36:14 AM,102,175.791,5.2,30.009,0.0641,18.4,
1/9/2020 9:36:15 AM,99,175.791,5.1,30.009,0.0635,18.4,
1/9/2020 9:36:16 AM,100,175.791,5.1,30.009,0.0635,18.4,
1/9/2020 9:36:17 AM,99,175.791,5,30.009,0.0633,18.4,
1/9/2020 9:36:18 AM,95,175.791,5,30.008,0.0633,18.4,
1/9/2020 9:36:19 AM,99,175.7963,5.1,30.008,0.0633,18.4,
1/9/2020 9:36:20 AM,100,175.7963,5.1,30.009,0.0624,18.4,
1/9/2020 9:36:21 AM,97,175.7963,5.1,30.009,0.063,18.4,
1/9/2020 9:36:22 AM,100,175.7963,5,30.009,0.063,18.4,
1/9/2020 9:36:23 AM,102,175.7963,5,30.009,0.0619,18.4,
