START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
9/26/2016 2:46:27 PM,9/26/2016 2:47:50 PM,SDC1,AVacPrewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
9/26/2016 2:46:28 PM,700.4,100,
9/26/2016 2:46:29 PM,664.2,100,
9/26/2016 2:46:30 PM,539.9,100,
9/26/2016 2:46:31 PM,417.6,100,
9/26/2016 2:46:32 PM,252.9,100,
9/26/2016 2:46:33 PM,138.9,99.9,
9/26/2016 2:46:34 PM,90,83.8,
9/26/2016 2:46:35 PM,60.8,58,
9/26/2016 2:46:36 PM,46.8,43.5,
9/26/2016 2:46:37 PM,38.4,35.1,
9/26/2016 2:46:38 PM,39.6,41.6,
9/26/2016 2:46:39 PM,47.7,48.4,
9/26/2016 2:46:40 PM,49.4,49.6,
9/26/2016 2:46:41 PM,49.8,49.8,
9/26/2016 2:46:42 PM,50,49.9,
9/26/2016 2:46:43 PM,50,49.9,
9/26/2016 2:46:44 PM,50,49.9,
9/26/2016 2:46:45 PM,50,49.9,
9/26/2016 2:46:46 PM,50,49.9,
9/26/2016 2:46:47 PM,50,49.9,
9/26/2016 2:46:48 PM,50,49.9,
9/26/2016 2:46:49 PM,50.8,50.6,
9/26/2016 2:46:50 PM,51.1,50.5,
9/26/2016 2:46:51 PM,50.9,50.2,
9/26/2016 2:46:52 PM,50.9,50.1,
9/26/2016 2:46:53 PM,50.9,50.2,
9/26/2016 2:46:54 PM,51.2,50.5,
9/26/2016 2:46:55 PM,51.6,50.9,
9/26/2016 2:46:56 PM,52.1,51.4,
9/26/2016 2:46:57 PM,52.6,51.9,
9/26/2016 2:46:58 PM,53,52.4,
9/26/2016 2:46:59 PM,53.5,52.8,
9/26/2016 2:47:00 PM,53.9,53.2,
9/26/2016 2:47:01 PM,54.9,53.8,
9/26/2016 2:47:02 PM,398.1,81.7,
9/26/2016 2:47:03 PM,553.3,100,
9/26/2016 2:47:04 PM,632.6,100,
9/26/2016 2:47:05 PM,677.9,100,
9/26/2016 2:47:06 PM,690.5,100,
9/26/2016 2:47:07 PM,691.9,100,
9/26/2016 2:47:08 PM,692,100,
9/26/2016 2:47:09 PM,692,100,
9/26/2016 2:47:10 PM,692,100,
9/26/2016 2:47:11 PM,692.2,100,
9/26/2016 2:47:12 PM,692.3,100,
9/26/2016 2:47:13 PM,695.8,100,
9/26/2016 2:47:14 PM,696.9,100,
9/26/2016 2:47:15 PM,696.3,100,
9/26/2016 2:47:16 PM,696.2,100,
9/26/2016 2:47:17 PM,696.1,100,
9/26/2016 2:47:18 PM,695.8,100,
9/26/2016 2:47:19 PM,695.5,100,
9/26/2016 2:47:20 PM,695.2,100,
9/26/2016 2:47:21 PM,695,100,
9/26/2016 2:47:22 PM,694.9,100,
9/26/2016 2:47:23 PM,694.9,100,
9/26/2016 2:47:24 PM,695,100,
9/26/2016 2:47:25 PM,694.9,100,
9/26/2016 2:47:26 PM,694.9,100,
9/26/2016 2:47:27 PM,694.8,100,
9/26/2016 2:47:28 PM,694.8,100,
9/26/2016 2:47:29 PM,694.8,100,
9/26/2016 2:47:30 PM,694.8,100,
9/26/2016 2:47:31 PM,694.5,100,
9/26/2016 2:47:32 PM,694.6,100,
9/26/2016 2:47:33 PM,694.7,100,
9/26/2016 2:47:34 PM,694.8,100,
9/26/2016 2:47:35 PM,695,100,
9/26/2016 2:47:36 PM,695.1,100,
9/26/2016 2:47:37 PM,695.2,100,
9/26/2016 2:47:39 PM,695.2,100,
9/26/2016 2:47:40 PM,695.2,100,
9/26/2016 2:47:41 PM,695.3,100,
9/26/2016 2:47:42 PM,695.2,100,
9/26/2016 2:47:43 PM,693.9,100,
9/26/2016 2:47:44 PM,692.5,100,
9/26/2016 2:47:45 PM,692.2,100,
9/26/2016 2:47:46 PM,692.2,100,
9/26/2016 2:47:47 PM,692.2,100,
9/26/2016 2:47:48 PM,692.2,100,
9/26/2016 2:47:49 PM,692.2,100,
9/26/2016 2:47:50 PM,692.2,100,
9/26/2016 2:47:51 PM,692.2,100,
