START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
9/26/2016 2:42:55 PM,9/26/2016 2:44:18 PM,SDC1,AVacPrewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
9/26/2016 2:42:55 PM,699,100,
9/26/2016 2:42:56 PM,634.8,100,
9/26/2016 2:42:57 PM,502.6,100,
9/26/2016 2:42:58 PM,354.9,100,
9/26/2016 2:42:59 PM,208.3,100,
9/26/2016 2:43:00 PM,125.4,99.9,
9/26/2016 2:43:01 PM,87,84.9,
9/26/2016 2:43:02 PM,61.7,61.2,
9/26/2016 2:43:03 PM,45.9,44.6,
9/26/2016 2:43:04 PM,37.5,35.5,
9/26/2016 2:43:05 PM,39.9,40.4,
9/26/2016 2:43:06 PM,47.3,48,
9/26/2016 2:43:07 PM,49.5,49.6,
9/26/2016 2:43:08 PM,49.8,49.8,
9/26/2016 2:43:09 PM,50,49.9,
9/26/2016 2:43:10 PM,50,49.9,
9/26/2016 2:43:11 PM,50,49.9,
9/26/2016 2:43:12 PM,50,49.9,
9/26/2016 2:43:13 PM,50,49.9,
9/26/2016 2:43:14 PM,50,49.9,
9/26/2016 2:43:15 PM,50,49.9,
9/26/2016 2:43:16 PM,50.1,50.5,
9/26/2016 2:43:17 PM,51,50.6,
9/26/2016 2:43:18 PM,51.1,50.2,
9/26/2016 2:43:19 PM,50.9,50.1,
9/26/2016 2:43:20 PM,50.8,50.2,
9/26/2016 2:43:21 PM,51,50.4,
9/26/2016 2:43:22 PM,51.2,50.8,
9/26/2016 2:43:23 PM,51.6,51.2,
9/26/2016 2:43:24 PM,52.1,51.8,
9/26/2016 2:43:25 PM,52.6,52.3,
9/26/2016 2:43:26 PM,53.1,52.8,
9/26/2016 2:43:27 PM,53.7,53.4,
9/26/2016 2:43:28 PM,54.2,54.1,
9/26/2016 2:43:29 PM,110.9,79.6,
9/26/2016 2:43:30 PM,492.1,100,
9/26/2016 2:43:31 PM,570.1,100,
9/26/2016 2:43:32 PM,646.6,100,
9/26/2016 2:43:34 PM,683.5,100,
9/26/2016 2:43:35 PM,691.8,100,
9/26/2016 2:43:36 PM,692.1,100,
9/26/2016 2:43:37 PM,691.9,100,
9/26/2016 2:43:38 PM,691.7,100,
9/26/2016 2:43:39 PM,691.9,100,
9/26/2016 2:43:40 PM,692.2,100,
9/26/2016 2:43:41 PM,695.7,100,
9/26/2016 2:43:42 PM,695.8,100,
9/26/2016 2:43:43 PM,694.8,100,
9/26/2016 2:43:44 PM,695.3,100,
9/26/2016 2:43:45 PM,695.5,100,
9/26/2016 2:43:46 PM,695.5,100,
9/26/2016 2:43:47 PM,695.2,100,
9/26/2016 2:43:48 PM,695.1,100,
9/26/2016 2:43:49 PM,694.8,100,
9/26/2016 2:43:50 PM,694.8,100,
9/26/2016 2:43:51 PM,694.8,100,
9/26/2016 2:43:52 PM,695,100,
9/26/2016 2:43:53 PM,695.1,100,
9/26/2016 2:43:54 PM,695.1,100,
9/26/2016 2:43:55 PM,695.1,100,
9/26/2016 2:43:56 PM,695.2,100,
9/26/2016 2:43:57 PM,695.2,100,
9/26/2016 2:43:58 PM,695.2,100,
9/26/2016 2:43:59 PM,695.2,100,
9/26/2016 2:44:00 PM,695.1,100,
9/26/2016 2:44:01 PM,695.2,100,
9/26/2016 2:44:02 PM,695.3,100,
9/26/2016 2:44:03 PM,695.3,100,
9/26/2016 2:44:04 PM,695.2,100,
9/26/2016 2:44:05 PM,695.2,100,
9/26/2016 2:44:06 PM,695.3,100,
9/26/2016 2:44:07 PM,695.4,100,
9/26/2016 2:44:08 PM,695.4,100,
9/26/2016 2:44:09 PM,695.3,100,
9/26/2016 2:44:10 PM,694.1,100,
9/26/2016 2:44:11 PM,692.6,100,
9/26/2016 2:44:12 PM,692.3,100,
9/26/2016 2:44:13 PM,692.2,100,
9/26/2016 2:44:14 PM,692.2,100,
9/26/2016 2:44:15 PM,692.2,100,
9/26/2016 2:44:16 PM,692.2,100,
9/26/2016 2:44:17 PM,692.2,100,
9/26/2016 2:44:18 PM,692.2,100,
