START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
12/6/2016 10:39:39 AM,12/6/2016 10:40:44 AM,SDC1,161110 Vac Prewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
12/6/2016 10:39:46 AM,751.1,100,
12/6/2016 10:39:48 AM,724.1,100,
12/6/2016 10:39:49 AM,575.5,100,
12/6/2016 10:39:50 AM,310.3,100,
12/6/2016 10:39:51 AM,149.1,100,
12/6/2016 10:39:52 AM,95,82.8,
12/6/2016 10:39:53 AM,64.5,58.3,
12/6/2016 10:39:54 AM,48.6,43.7,
12/6/2016 10:39:55 AM,39.5,36.2,
12/6/2016 10:39:56 AM,35,31.4,
12/6/2016 10:39:57 AM,31.4,28.6,
12/6/2016 10:39:58 AM,28.5,25,
12/6/2016 10:39:59 AM,24.9,22.5,
12/6/2016 10:40:00 AM,22.9,21.4,
12/6/2016 10:40:01 AM,21.8,20.6,
12/6/2016 10:40:02 AM,21.1,20.1,
12/6/2016 10:40:03 AM,20.5,19.7,
12/6/2016 10:40:04 AM,20.1,19.3,
12/6/2016 10:40:05 AM,19.9,19.1,
12/6/2016 10:40:06 AM,19.6,18.9,
12/6/2016 10:40:07 AM,19.5,18.7,
12/6/2016 10:40:08 AM,19.3,18.5,
12/6/2016 10:40:09 AM,19.1,18.3,
12/6/2016 10:40:10 AM,18.9,18.1,
12/6/2016 10:40:11 AM,18.7,17.9,
12/6/2016 10:40:12 AM,18.5,17.7,
12/6/2016 10:40:13 AM,18.3,17.4,
12/6/2016 10:40:14 AM,18,17.2,
12/6/2016 10:40:15 AM,17.8,17,
12/6/2016 10:40:16 AM,17.6,16.7,
12/6/2016 10:40:17 AM,17.3,16.6,
12/6/2016 10:40:18 AM,19.1,21.8,
12/6/2016 10:40:19 AM,23.6,25,
12/6/2016 10:40:20 AM,25.5,25.4,
12/6/2016 10:40:21 AM,26,25.7,
12/6/2016 10:40:22 AM,26.4,26.1,
12/6/2016 10:40:23 AM,312.7,88.9,
12/6/2016 10:40:24 AM,565.4,100,
12/6/2016 10:40:25 AM,659.5,100,
12/6/2016 10:40:26 AM,723,100,
12/6/2016 10:40:27 AM,748.3,100,
12/6/2016 10:40:28 AM,751.2,100,
12/6/2016 10:40:29 AM,751.6,100,
12/6/2016 10:40:30 AM,751.5,100,
12/6/2016 10:40:31 AM,751.5,100,
12/6/2016 10:40:32 AM,751.4,100,
12/6/2016 10:40:33 AM,751.2,100,
12/6/2016 10:40:34 AM,750.8,100,
12/6/2016 10:40:35 AM,750.7,100,
12/6/2016 10:40:36 AM,750.5,100,
12/6/2016 10:40:37 AM,751,100,
12/6/2016 10:40:38 AM,751.2,100,
12/6/2016 10:40:39 AM,751.2,100,
12/6/2016 10:40:40 AM,751.2,100,
12/6/2016 10:40:41 AM,751.2,100,
12/6/2016 10:40:42 AM,751.2,100,
12/6/2016 10:40:43 AM,751.2,100,
12/6/2016 10:40:44 AM,751.2,100,
12/6/2016 10:40:45 AM,751.2,100,
12/6/2016 10:40:46 AM,751.2,100,
12/6/2016 10:40:47 AM,751.2,100,
12/6/2016 10:40:48 AM,751.2,100,
12/6/2016 10:40:49 AM,751.2,100,
12/6/2016 10:40:50 AM,751.2,100,
12/6/2016 10:40:51 AM,751.2,100,
12/6/2016 10:40:52 AM,751.2,100,
