START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
11/22/2016 1:34:30 PM,11/22/2016 1:35:35 PM,SDC1,161110 Vac Prewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
11/22/2016 1:34:52 PM,755.8,100,
11/22/2016 1:34:53 PM,719.4,100,
11/22/2016 1:34:54 PM,575.9,100,
11/22/2016 1:34:55 PM,355.7,100,
11/22/2016 1:34:56 PM,178,99.9,
11/22/2016 1:34:57 PM,104.4,84.5,
11/22/2016 1:34:58 PM,71.9,62,
11/22/2016 1:34:59 PM,54.5,48.2,
11/22/2016 1:35:00 PM,45.4,40.9,
11/22/2016 1:35:01 PM,40.3,36.2,
11/22/2016 1:35:02 PM,36.7,33.4,
11/22/2016 1:35:03 PM,34.1,31.6,
11/22/2016 1:35:04 PM,32.3,30.5,
11/22/2016 1:35:05 PM,31,29.6,
11/22/2016 1:35:06 PM,30.1,29,
11/22/2016 1:35:07 PM,29.5,28.5,
11/22/2016 1:35:08 PM,29,28,
11/22/2016 1:35:09 PM,28.5,27,
11/22/2016 1:35:10 PM,27.6,26,
11/22/2016 1:35:11 PM,26.6,24.9,
11/22/2016 1:35:12 PM,25.5,24.3,
11/22/2016 1:35:13 PM,24.9,23.9,
11/22/2016 1:35:14 PM,24.5,23.7,
11/22/2016 1:35:15 PM,24.2,23.5,
11/22/2016 1:35:16 PM,24,23.3,
11/22/2016 1:35:17 PM,23.9,23.2,
11/22/2016 1:35:18 PM,23.7,23,
11/22/2016 1:35:19 PM,23.6,22.9,
11/22/2016 1:35:20 PM,23.4,22.7,
11/22/2016 1:35:21 PM,23.2,22.4,
11/22/2016 1:35:22 PM,23,22.2,
11/22/2016 1:35:23 PM,23,24,
11/22/2016 1:35:24 PM,24.6,25.6,
11/22/2016 1:35:25 PM,26,26,
11/22/2016 1:35:26 PM,26.6,26.4,
11/22/2016 1:35:27 PM,27,26.7,
11/22/2016 1:35:28 PM,196.8,81.7,
11/22/2016 1:35:29 PM,545.7,100,
11/22/2016 1:35:30 PM,625.9,100,
11/22/2016 1:35:31 PM,709.8,100,
11/22/2016 1:35:32 PM,743,100,
11/22/2016 1:35:33 PM,749.1,100,
11/22/2016 1:35:34 PM,749.6,100,
11/22/2016 1:35:35 PM,749.6,100,
11/22/2016 1:35:36 PM,749.5,100,
11/22/2016 1:35:37 PM,749.4,100,
11/22/2016 1:35:38 PM,749.3,100,
11/22/2016 1:35:39 PM,748.9,100,
11/22/2016 1:35:40 PM,748.7,100,
11/22/2016 1:35:41 PM,748.6,100,
11/22/2016 1:35:42 PM,748.6,100,
11/22/2016 1:35:43 PM,748.8,100,
11/22/2016 1:35:44 PM,749,100,
11/22/2016 1:35:45 PM,749.1,100,
11/22/2016 1:35:46 PM,749.1,100,
11/22/2016 1:35:47 PM,749.1,100,
11/22/2016 1:35:48 PM,749.1,100,
11/22/2016 1:35:49 PM,749.1,100,
11/22/2016 1:35:50 PM,749.1,100,
11/22/2016 1:35:51 PM,749.1,100,
11/22/2016 1:35:52 PM,749.1,100,
11/22/2016 1:35:53 PM,749.1,100,
11/22/2016 1:35:54 PM,749.1,100,
11/22/2016 1:35:55 PM,749.1,100,
11/22/2016 1:35:56 PM,749.1,100,
11/22/2016 1:35:57 PM,749.1,100,
