START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
1/9/2020 8:02:46 AM,1/9/2020 8:13:29 AM,SDC3,200108 Al 35V  200mA,COSMOS-2,notspecified,05
DATE_TIME, RPM,Flow,PS_FwdTot,PS_FwdVolt,Temp,PS_FwdAmp,
1/9/2020 8:02:46 AM,0,5.1,174.434,0,18.8,0,
1/9/2020 8:02:48 AM,0,5.1,174.434,0,18.8,0,
1/9/2020 8:02:49 AM,0,5.2,174.434,0,18.8,0,
1/9/2020 8:02:50 AM,0,5.1,174.434,0,18.8,0,
1/9/2020 8:02:51 AM,0,5.1,174.434,0,18.8,0,
1/9/2020 8:02:52 AM,0,5.1,174.434,0,18.8,0,
1/9/2020 8:02:53 AM,0,5.1,174.434,0,18.8,0,
1/9/2020 8:02:54 AM,0,5,174.434,0,18.8,0,
1/9/2020 8:02:55 AM,0,5,174.434,0,18.7,0,
1/9/2020 8:02:56 AM,0,5.1,174.434,0,18.7,0,
1/9/2020 8:02:57 AM,2,5.1,174.434,0,18.8,0,
1/9/2020 8:02:58 AM,2,5,174.434,0,18.8,0,
1/9/2020 8:02:59 AM,2,5.2,174.434,0,18.7,0,
1/9/2020 8:03:00 AM,3,5.2,174.434,0,18.8,0,
1/9/2020 8:03:01 AM,3,5.1,174.434,0,18.8,0,
1/9/2020 8:03:02 AM,3,5.1,174.434,0,18.7,0,
1/9/2020 8:03:03 AM,2,5.1,174.434,0,18.7,0,
1/9/2020 8:03:04 AM,44,5.1,174.434,0,18.8,0,
1/9/2020 8:03:05 AM,96,5.1,174.434,0.042,18.7,0.0543,
1/9/2020 8:03:06 AM,96,5.1,174.434,34.991,18.7,0.0543,
1/9/2020 8:03:07 AM,99,5.1,174.434,35.009,18.8,0.0986,
1/9/2020 8:03:08 AM,100,5.1,174.434,35.009,18.7,0.0986,
1/9/2020 8:03:09 AM,99,5.1,174.434,35.009,18.7,0.0991,
1/9/2020 8:03:10 AM,99,5,174.441,35.01,18.8,0.0971,
1/9/2020 8:03:11 AM,97,5,174.441,35.01,18.7,0.0971,
1/9/2020 8:03:12 AM,95,5,174.441,35.01,18.8,0.0982,
1/9/2020 8:03:13 AM,99,5,174.441,35.01,18.8,0.0958,
1/9/2020 8:03:14 AM,100,5,174.441,35.01,18.7,0.0958,
1/9/2020 8:03:15 AM,99,5,174.4491,35.01,18.7,0.0967,
1/9/2020 8:03:16 AM,103,5,174.4491,35.01,18.8,0.0948,
1/9/2020 8:03:17 AM,100,5,174.4491,35.01,18.7,0.0948,
1/9/2020 8:03:18 AM,94,5.1,174.4491,35.01,18.8,0.0959,
1/9/2020 8:03:19 AM,98,5.1,174.4491,35.01,18.7,0.094,
1/9/2020 8:03:20 AM,99,5.1,174.4573,35.01,18.8,0.094,
1/9/2020 8:03:21 AM,98,5.1,174.4573,35.01,18.8,0.0945,
1/9/2020 8:03:22 AM,95,5.1,174.4573,35.01,18.7,0.0928,
1/9/2020 8:03:23 AM,98,5.1,174.4573,35.01,18.7,0.0928,
1/9/2020 8:03:24 AM,105,5,174.4573,35.01,18.7,0.0936,
1/9/2020 8:03:25 AM,102,5.1,174.4654,35.01,18.7,0.0936,
1/9/2020 8:03:26 AM,101,5.1,174.4654,35.01,18.7,0.092,
1/9/2020 8:03:27 AM,100,5,174.4654,35.01,18.7,0.0923,
1/9/2020 8:03:28 AM,106,5,174.4654,35.01,18.7,0.0923,
1/9/2020 8:03:29 AM,100,5.1,174.4654,35.01,18.7,0.0925,
1/9/2020 8:03:30 AM,100,5,174.4654,35.01,18.7,0.0918,
1/9/2020 8:03:31 AM,104,5,174.4734,35.01,18.7,0.0918,
1/9/2020 8:03:32 AM,100,5,174.4734,35.01,18.8,0.092,
1/9/2020 8:03:33 AM,99,5,174.4734,35.01,18.7,0.0906,
1/9/2020 8:03:34 AM,105,5.1,174.4734,35.01,18.7,0.0906,
1/9/2020 8:03:35 AM,96,5.1,174.4734,35.01,18.7,0.0907,
1/9/2020 8:03:36 AM,100,5.1,174.481,35.01,18.7,0.0891,
1/9/2020 8:03:37 AM,102,5.1,174.481,35.01,18.7,0.0891,
1/9/2020 8:03:38 AM,98,5.1,174.481,35.01,18.7,0.0901,
1/9/2020 8:03:39 AM,99,5,174.481,35.01,18.8,0.0885,
1/9/2020 8:03:40 AM,98,5,174.481,35.01,18.8,0.0885,
1/9/2020 8:03:41 AM,95,5,174.4885,35.01,18.8,0.088,
1/9/2020 8:03:42 AM,100,5.1,174.4885,35.01,18.8,0.0883,
1/9/2020 8:03:43 AM,103,5.1,174.4885,35.01,18.8,0.0883,
1/9/2020 8:03:44 AM,96,5.1,174.4885,35.01,18.8,0.0887,
1/9/2020 8:03:45 AM,100,5.1,174.4885,35.01,18.8,0.0887,
1/9/2020 8:03:46 AM,100,5.1,174.496,35.01,18.8,0.0872,
1/9/2020 8:03:47 AM,98,5.1,174.496,35.01,18.8,0.0876,
1/9/2020 8:03:48 AM,102,5.1,174.496,35.01,18.8,0.0876,
1/9/2020 8:03:49 AM,101,5.1,174.496,35.01,18.8,0.0857,
1/9/2020 8:03:50 AM,99,5.1,174.5032,35.01,18.8,0.0866,
1/9/2020 8:03:51 AM,100,5.1,174.5032,35.01,18.8,0.0866,
1/9/2020 8:03:52 AM,97,5.1,174.5032,35.01,18.8,0.0849,
1/9/2020 8:03:53 AM,96,5.1,174.5032,35.01,18.8,0.0857,
1/9/2020 8:03:54 AM,100,5,174.5032,35.01,18.8,0.0857,
1/9/2020 8:03:55 AM,100,5,174.5104,35.01,18.8,0.0845,
1/9/2020 8:03:56 AM,101,5.1,174.5104,35.01,18.8,0.0844,
1/9/2020 8:03:57 AM,99,5.1,174.5104,35.01,18.8,0.0844,
1/9/2020 8:03:58 AM,100,5.2,174.5104,35.01,18.8,0.0838,
1/9/2020 8:03:59 AM,102,5.2,174.5104,35.01,18.8,0.0838,
1/9/2020 8:04:00 AM,99,5.1,174.5174,35.01,18.8,0.0838,
1/9/2020 8:04:01 AM,101,5.1,174.5174,35.01,18.8,0.0841,
1/9/2020 8:04:02 AM,101,5.1,174.5174,35.01,18.8,0.0841,
1/9/2020 8:04:03 AM,100,5,174.5174,35.01,18.8,0.0833,
1/9/2020 8:04:04 AM,101,5,174.5174,35.01,18.8,0.0836,
1/9/2020 8:04:05 AM,99,5.1,174.5174,35.01,18.8,0.0836,
