START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
11/18/2016 9:30:09 PM,11/18/2016 9:31:14 PM,SDC1,161110 Vac Prewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
11/18/2016 9:30:26 PM,750.5,100,
11/18/2016 9:30:27 PM,630.8,100,
11/18/2016 9:30:28 PM,448.4,100,
11/18/2016 9:30:29 PM,220.1,100,
11/18/2016 9:30:30 PM,119.8,99.9,
11/18/2016 9:30:31 PM,81,84.7,
11/18/2016 9:30:32 PM,59.7,60.9,
11/18/2016 9:30:33 PM,48,48.3,
11/18/2016 9:30:34 PM,41.5,40.9,
11/18/2016 9:30:35 PM,37.8,36.3,
11/18/2016 9:30:36 PM,34.5,33.2,
11/18/2016 9:30:37 PM,32.5,31.3,
11/18/2016 9:30:38 PM,30.8,30,
11/18/2016 9:30:39 PM,28.6,27.4,
11/18/2016 9:30:40 PM,26.7,25.7,
11/18/2016 9:30:41 PM,25.5,24.6,
11/18/2016 9:30:42 PM,24.7,24,
11/18/2016 9:30:43 PM,24.3,23.7,
11/18/2016 9:30:44 PM,24,23.4,
11/18/2016 9:30:45 PM,23.7,23.1,
11/18/2016 9:30:46 PM,23.5,22.9,
11/18/2016 9:30:47 PM,23.2,22.6,
11/18/2016 9:30:48 PM,22.8,22.2,
11/18/2016 9:30:49 PM,22.5,21.9,
11/18/2016 9:30:50 PM,22.2,21.7,
11/18/2016 9:30:51 PM,22.2,21.3,
11/18/2016 9:30:52 PM,21.9,21,
11/18/2016 9:30:53 PM,21.1,20.5,
11/18/2016 9:30:54 PM,20.7,20.1,
11/18/2016 9:30:55 PM,20.7,19.7,
11/18/2016 9:30:56 PM,20.2,19.3,
11/18/2016 9:30:57 PM,19.9,22.2,
11/18/2016 9:30:58 PM,25.4,27.4,
11/18/2016 9:30:59 PM,27.9,28.2,
11/18/2016 9:31:00 PM,28.6,28.6,
11/18/2016 9:31:01 PM,29.1,29.1,
11/18/2016 9:31:02 PM,91.5,78.4,
11/18/2016 9:31:03 PM,552,100,
11/18/2016 9:31:04 PM,610.4,100,
11/18/2016 9:31:05 PM,692.3,100,
11/18/2016 9:31:06 PM,736.9,100,
11/18/2016 9:31:07 PM,749,100,
11/18/2016 9:31:08 PM,749.8,100,
11/18/2016 9:31:09 PM,750,100,
11/18/2016 9:31:10 PM,750,100,
11/18/2016 9:31:11 PM,749.9,100,
11/18/2016 9:31:12 PM,749.8,100,
11/18/2016 9:31:13 PM,749.5,100,
11/18/2016 9:31:14 PM,749.2,100,
11/18/2016 9:31:15 PM,749.1,100,
11/18/2016 9:31:16 PM,749,100,
11/18/2016 9:31:17 PM,749.3,100,
11/18/2016 9:31:18 PM,749.6,100,
11/18/2016 9:31:19 PM,749.6,100,
11/18/2016 9:31:20 PM,749.6,100,
11/18/2016 9:31:21 PM,749.6,100,
11/18/2016 9:31:22 PM,749.6,100,
11/18/2016 9:31:23 PM,749.6,100,
11/18/2016 9:31:24 PM,749.6,100,
11/18/2016 9:31:25 PM,749.6,100,
11/18/2016 9:31:26 PM,749.6,100,
11/18/2016 9:31:27 PM,749.6,100,
11/18/2016 9:31:28 PM,749.6,100,
11/18/2016 9:31:29 PM,749.6,100,
11/18/2016 9:31:31 PM,749.6,100,
