START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
1/9/2020 7:37:02 AM,1/9/2020 7:47:45 AM,SDC3,200108 Al 40V  200mA,COSMOS-2,notspecified,05
DATE_TIME, RPM,Flow,PS_FwdTot,PS_FwdVolt,Temp,PS_FwdAmp,
1/9/2020 7:37:03 AM,0,5.1,173.3924,0,18.8,0,
1/9/2020 7:37:04 AM,0,5.1,173.3924,0,18.8,0,
1/9/2020 7:37:05 AM,0,5.2,173.3924,0,18.8,0,
1/9/2020 7:37:06 AM,0,5.2,173.3924,0,18.8,0,
1/9/2020 7:37:07 AM,0,5.2,173.3924,0,18.8,0,
1/9/2020 7:37:08 AM,0,5.2,173.3924,0,18.8,0,
1/9/2020 7:37:09 AM,0,5.1,173.3924,0,18.8,0,
1/9/2020 7:37:10 AM,0,5.1,173.3924,0,18.8,0,
1/9/2020 7:37:11 AM,0,5.1,173.3924,0,18.8,0,
1/9/2020 7:37:12 AM,0,5,173.3924,0,18.8,0,
1/9/2020 7:37:13 AM,2,5,173.3924,0,18.8,0,
1/9/2020 7:37:14 AM,2,4.9,173.3924,0,18.8,0,
1/9/2020 7:37:15 AM,3,4.9,173.3924,0,18.8,0,
1/9/2020 7:37:16 AM,3,4.9,173.3924,0,18.8,0,
1/9/2020 7:37:17 AM,3,4.9,173.3924,0,18.8,0,
1/9/2020 7:37:18 AM,3,5,173.3924,0,18.8,0,
1/9/2020 7:37:19 AM,2,5,173.3924,0,18.8,0,
1/9/2020 7:37:20 AM,47,5,173.3924,0,18.8,0,
1/9/2020 7:37:21 AM,96,5.1,173.3924,0.042,18.8,0,
1/9/2020 7:37:22 AM,95,5.1,173.3924,0.042,18.8,0.1697,
1/9/2020 7:37:23 AM,99,5.1,173.3924,40.012,18.8,0.1132,
1/9/2020 7:37:24 AM,99,5.1,173.3924,40.012,18.8,0.1132,
1/9/2020 7:37:25 AM,99,5.1,173.3924,40.012,18.8,0.1132,
1/9/2020 7:37:26 AM,99,5,173.403,40.012,18.8,0.111,
1/9/2020 7:37:27 AM,99,5,173.403,40.012,18.8,0.111,
1/9/2020 7:37:28 AM,103,5.1,173.403,40.014,18.8,0.1118,
1/9/2020 7:37:29 AM,102,5.1,173.403,40.014,18.8,0.1097,
1/9/2020 7:37:30 AM,102,5.1,173.403,40.014,18.8,0.1097,
1/9/2020 7:37:31 AM,97,5.1,173.4124,40.014,18.8,0.11,
1/9/2020 7:37:32 AM,100,5.1,173.4124,40.014,18.8,0.1085,
1/9/2020 7:37:33 AM,99,5.2,173.4124,40.014,18.8,0.1085,
1/9/2020 7:37:34 AM,96,5.2,173.4124,40.014,18.8,0.1091,
1/9/2020 7:37:35 AM,103,5.2,173.4124,40.014,18.8,0.107,
1/9/2020 7:37:36 AM,99,5.2,173.4218,40.014,18.8,0.107,
1/9/2020 7:37:37 AM,97,5.1,173.4218,40.014,18.8,0.1081,
1/9/2020 7:37:38 AM,99,5.1,173.4218,40.014,18.8,0.1081,
1/9/2020 7:37:39 AM,96,5.1,173.4218,40.014,18.8,0.1061,
1/9/2020 7:37:40 AM,102,5.1,173.4218,40.014,18.8,0.107,
1/9/2020 7:37:41 AM,95,5.1,173.431,40.014,18.8,0.107,
1/9/2020 7:37:42 AM,101,5,173.431,40.014,18.8,0.1053,
1/9/2020 7:37:43 AM,100,5,173.431,40.014,18.8,0.1059,
