START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
1/9/2020 7:51:24 AM,1/9/2020 8:02:08 AM,SDC3,200108 Al 35V  200mA,COSMOS-2,notspecified,05
DATE_TIME, RPM,PS_FwdTot,Flow,PS_FwdVolt,Temp,PS_FwdAmp,
1/9/2020 7:51:25 AM,0,173.9454,5,0,18.8,0,
1/9/2020 7:51:26 AM,0,173.9454,5,0,18.8,0,
1/9/2020 7:51:27 AM,0,173.9454,5,0,18.8,0,
1/9/2020 7:51:28 AM,0,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:29 AM,0,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:30 AM,0,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:31 AM,0,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:32 AM,0,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:33 AM,0,173.9454,5,0,18.8,0,
1/9/2020 7:51:34 AM,2,173.9454,5,0,18.8,0,
1/9/2020 7:51:35 AM,2,173.9454,5,0,18.8,0,
1/9/2020 7:51:36 AM,3,173.9454,5,0,18.8,0,
1/9/2020 7:51:37 AM,3,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:38 AM,3,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:39 AM,3,173.9454,5.2,0,18.8,0,
1/9/2020 7:51:40 AM,3,173.9454,5.2,0,18.8,0,
1/9/2020 7:51:41 AM,2,173.9454,5.2,0,18.8,0,
1/9/2020 7:51:42 AM,47,173.9454,5.1,0,18.8,0,
1/9/2020 7:51:43 AM,98,173.9454,5.1,9.765,18.8,0.1005,
1/9/2020 7:51:44 AM,103,173.9454,5,9.765,18.8,0.1005,
1/9/2020 7:51:45 AM,99,173.9454,5,35.009,18.8,0.0993,
1/9/2020 7:51:46 AM,99,173.9454,5,35.009,18.8,0.0993,
1/9/2020 7:51:47 AM,102,173.9454,5,35.009,18.8,0.0993,
1/9/2020 7:51:48 AM,101,173.9536,5.1,35.01,18.8,0.0972,
1/9/2020 7:51:49 AM,101,173.9536,5.1,35.01,18.8,0.0972,
1/9/2020 7:51:50 AM,100,173.9536,5.1,35.01,18.8,0.098,
1/9/2020 7:51:51 AM,99,173.9536,5.1,35.01,18.8,0.0959,
1/9/2020 7:51:52 AM,102,173.9536,5.1,35.01,18.8,0.0959,
1/9/2020 7:51:53 AM,101,173.9618,5,35.01,18.8,0.0967,
1/9/2020 7:51:54 AM,98,173.9618,5.1,35.01,18.8,0.0948,
1/9/2020 7:51:55 AM,100,173.9618,5.1,35.01,18.8,0.0948,
1/9/2020 7:51:56 AM,100,173.9618,5.1,35.01,18.8,0.0955,
1/9/2020 7:51:57 AM,103,173.9618,5.1,35.01,18.8,0.0942,
1/9/2020 7:51:58 AM,96,173.97,5.1,35.01,18.8,0.0942,
1/9/2020 7:51:59 AM,97,173.97,5.1,35.01,18.8,0.0942,
1/9/2020 7:52:00 AM,94,173.97,5.1,35.01,18.8,0.0937,
1/9/2020 7:52:01 AM,98,173.97,5.1,35.01,18.8,0.0937,
1/9/2020 7:52:02 AM,99,173.97,5.1,35.01,18.8,0.0934,
1/9/2020 7:52:03 AM,100,173.9778,5,35.01,18.8,0.0937,
1/9/2020 7:52:04 AM,100,173.9778,5,35.01,18.8,0.0937,
1/9/2020 7:52:05 AM,99,173.9778,5,35.01,18.8,0.0923,
